,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
0,Tangiers Lounge,Viborgsky,"Россия, Санкт-Петербург, Выборгский район, муниципальный округ Шувалово-Озерки",Проспект Просвещения,+7 (981) 137-46-91,https://vk.com/tangierslounge,https://www.instagram.com/tangierslounge_prosvet/
1,Hoocar,Viborgsky,"ул. Николая Рубцова, 11, корп. 1",Парнас,8 (800) 301-10-24,https://vk.com/hoocarspb/,https://www.instagram.com/hoocar.spb/
2,ТОКИО-CITY,Viborgsky,"просп. Энгельса, 133, корп. 1",Проспект Просвещения,+7 (812) 677-10-00,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
3,ТОКИО-CITY,Viborgsky,"просп. Просвещения, 48",Проспект Просвещения,+7 (812) 602-04-41,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
4,ТОКИО-CITY,Viborgsky,"4-й Верхний пер., 19",Парнас,+7 (812) 612-81-92,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
5,Loft 51,Viborgsky,"просп. Энгельса, 126, корп. 1",Озерки,+7 (999) 031-45-81,https://vk.com/loft_51ozerki,https://www.instagram.com/loft.51
6,Cyberx Community,Viborgsky,"просп. Медиков, 10, корп. 1",Петроградская,+7 (812) 688-73-72,Не указано,https://www.instagram.com/cyberx.spb/
7,Нуар,Viborgsky,"ул. Александра Матросова, 20, корп. 2",Лесная,+7 (967) 552-18-93,http://vk.com/noir_anticafe,https://instagram.com/noir_anticafe
8,Экслибрис,Viborgsky,"ул. Савушкина, 17",Чёрная речка,+7 (921) 652-81-68,http://vk.com/exlibris_hl,Не указано
9,Эндорфин,Viborgsky,"Комендантский просп., 58, корп. 1",Комендантский проспект,+7 (812) 986-64-25,https://vk.com/endorphinlounge,Не указано
10,Hoocar Энгельса Хукар,Viborgsky,"просп. Энгельса, 115, корп. 1",Озерки,8 (800) 301-10-24,https://vk.com/hoocarspb/,https://www.instagram.com/hoocar.spb/
11,На Высоте,Viborgsky,"ул. Котовского, 4/39В",Горьковская,+7 (812) 967-70-65,https://vk.com/spbnavysote,https://www.instagram.com/spbnavysote/
12,Juicy Smoke,Viborgsky,"просп. Луначарского, 15, корп. 1",Озерки,+7 (812) 386-20-91,http://vk.com/juicysmokespb,http://instagram.com/juicysmokespb
13,Цоколь,Viborgsky,"Кантемировская ул., 27",Лесная,+7 (921) 910-23-59,https://vk.com/tsokolhookah,https://www.instagram.com/tsokol_hookah/
14,Garden Lounge,Viborgsky,"ул. Аккуратова, 13",Удельная,+7 (931) 009-28-14,https://vk.com/loungegarden,https://www.instagram.com/garden_lounge_spb/
15,Кальян-бар Mirage Lounge,Viborgsky,"просп. Королёва, 61",Комендантский проспект,+7 (999) 037-36-94,https://vk.com/miragelounge,https://www.instagram.com/miragelounge
16,Ресторан Unity_Petrogradka,Viborgsky,"наб. реки Карповки, 5, корп. 17",Петроградская,+7 (999) 022-26-45,http://vk.com/loungezoneunity,https://www.instagram.com/unity_petrogradka/
